epoch,train_loss,P1_standard_mean_dice,P1_standard_std,P2_audit_mean_dice,P2_audit_std,P3_sef_seg_dice,P3_sef_seg_dice_std,P3_sef_specificity,P3_sef_sensitivity,P3_sef_composite,n_positive,n_negative
5,0.4260408282279968,0.5830917046425372,0.3190324490133457,0.6464119337916362,0.24347705413797402,0.6464119337916362,0.24347705413797402,0.2631578947368421,0.9791666666666666,0.5199381009035541,96,19
10,0.2926483941929681,0.6341311118456093,0.34478492732870386,0.6763028921247555,0.2887807924989942,0.6763028921247555,0.2887807924989942,0.42105263157894735,0.9583333333333334,0.5920703061446387,96,19
15,0.24379829892090388,0.710558004739556,0.3373032808371443,0.6949392763435368,0.3192490124539684,0.6949392763435368,0.3192490124539684,0.7894736842105263,0.90625,0.7261356309396434,96,19
20,0.18455804288387298,0.7219399081318257,0.32961495177501016,0.6877405148353811,0.3231553409012653,0.6877405148353811,0.3231553409012653,0.8947368421052632,0.8854166666666666,0.7560493028344422,96,19
25,0.1823391854763031,0.7210295172904926,0.3389856317066274,0.7074832756767441,0.3219452024673176,0.7074832756767441,0.3219452024673176,0.7894736842105263,0.8854166666666666,0.7345401104928921,96,19
30,0.18174157845122474,0.7566070710253477,0.31563997961430834,0.7084355538324477,0.3245021645061613,0.7084355538324477,0.3245021645061613,1.0,0.875,0.8046518210677399,96,19
35,0.1556116502199854,0.7586133432731802,0.31027860494947496,0.7420889004384758,0.29556438096938525,0.7420889004384758,0.29556438096938525,0.8421052631578947,0.9166666666666666,0.7750943001358839,96,19
40,0.14383742873157773,0.7562656951245227,0.3127162784428467,0.7288599472492979,0.3065284677729794,0.7288599472492979,0.3065284677729794,0.8947368421052632,0.9166666666666666,0.7835993225517663,96,19
45,0.1333274722099304,0.7641173285744941,0.3161251303923296,0.7278488831617578,0.31919252211369836,0.7278488831617578,0.31919252211369836,0.9473684210526315,0.90625,0.8002903306657461,96,19
50,0.13949948847293853,0.7432985555404389,0.32969471486522484,0.7341597278397242,0.3111456720866443,0.7341597278397242,0.3111456720866443,0.7894736842105263,0.9270833333333334,0.7524133334420888,96,19
55,0.14591151284320014,0.7185330481060511,0.35168944871918223,0.7044927138539435,0.33775284737998973,0.7044927138539435,0.33775284737998973,0.7894736842105263,0.8958333333333334,0.7325364340716158,96,19
60,0.14920743490968433,0.7381462868207188,0.330636304517018,0.7071544059531542,0.32634767519195806,0.7071544059531542,0.32634767519195806,0.8947368421052632,0.9166666666666666,0.76905660988335,96,19
65,0.12780922097819192,0.7453351827938174,0.32918166240381525,0.7053494377159281,0.33205601732251805,0.7053494377159281,0.33205601732251805,0.9473684210526315,0.9166666666666666,0.7852157022170402,96,19
70,0.11850853796516146,0.7570391690029544,0.3217178452888043,0.7402031711560907,0.3097673378980322,0.7402031711560907,0.3097673378980322,0.8421052631578947,0.9375,0.773830861516686,96,19
75,0.10932772063783237,0.75924555344934,0.3250899750378809,0.7428462358893627,0.31409623770718875,0.7428462358893627,0.31409623770718875,0.8421052631578947,0.9375,0.7756017148879782,96,19
80,0.10723046809434891,0.7485176061958247,0.33149773876582644,0.7404117156862094,0.31360410428330504,0.7404117156862094,0.31360410428330504,0.7894736842105263,0.9479166666666666,0.7566021652992341,96,19
85,0.12300739863089152,0.7507326475155395,0.33004269393071456,0.7326484838726325,0.3196743006530768,0.7326484838726325,0.3196743006530768,0.8421052631578947,0.9375,0.7687692210367689,96,19
90,0.10221374918307577,0.745304529273933,0.3340328076579211,0.7365627173369363,0.3167077065495198,0.7365627173369363,0.3167077065495198,0.7894736842105263,0.9375,0.754023336405221,96,19
95,0.10364504158496857,0.7463616292592836,0.3353292776792517,0.7378290349877896,0.3183790317409419,0.7378290349877896,0.3183790317409419,0.7894736842105263,0.9270833333333334,0.7548717692312927,96,19
100,0.10580863473670823,0.755476102137831,0.3283202416439375,0.7383307469555754,0.3178575251565504,0.7383307469555754,0.3178575251565504,0.8421052631578947,0.9270833333333334,0.7725763373023408,96,19
